P_hc,T_hc,z_c3,P_w,T_w,HC.xvap,HC.xliq,HC.Pbubl,HC.Pdew,HC.K_c[1],HC.K_c[2],HC.K_c[3],"HC.x_pc[2,1]","HC.x_pc[3,1]",HC.H_p[1],HC.MW_p[1],Fm_hc,W.h,W.s,W.d,W.cp,W.Tsat,W.dTsup,W.phase,W.Fv
400000.0,305,0.5,4000000.0,700,0.7145869625897935,0.2854130374102066,676514.3794149992,268511.5840885437,2.654848249598551,0.8007765685445888,0.2652188813672286,0.2290916121833252,0.6082034656026113,-5483.091550022189,53.9154,5.39154,3277333.160851409,6862.901863542406,12.98465919992064,2328.339627785634,523.5075191240662,176.4924808759338,3,0.1387428019682651
400000.0,315,0.4,1000000.0,500,0.7198533881627974,0.2801466118372026,732062.5462960908,288839.91632297,3.315011766042331,1.058078737837921,0.3523420523624954,0.1500111160062045,0.497288614597709,-4514.173331749556,56.72070000000001,5.672070000000001,2891276.467390902,6825.047542542925,4.532542418073724,2281.917775791725,453.0356323914667,46.96436760853328,3,0.3974652267602226
400000.0,315,0.4,1000000.0,600,0.7198533881627974,0.2801466118372026,732062.5462960908,288839.91632297,3.315011766042331,1.058078737837921,0.3523420523624954,0.1500111160062045,0.497288614597709,-4514.173331749556,56.72070000000001,5.672070000000001,3108976.697284031,7222.370703971835,3.687216989430921,2127.248912137244,453.0356323914667,146.9643676085333,3,0.488587464519696
400000.0,315,0.4,1000000.0,700,0.7198533881627974,0.2801466118372026,732062.5462960908,288839.91632297,3.315011766042331,1.058078737837921,0.3523420523624954,0.1500111160062045,0.497288614597709,-4514.173331749556,56.72070000000001,5.672070000000001,3321634.071576465,7550.146125775507,3.130621729148443,2136.382814265179,453.0356323914667,246.9643676085333,3,0.5754537455695843
400000.0,315,0.4,4000000.0,500,0.7198533881627974,0.2801466118372026,732062.5462960908,288839.91632297,3.315011766042331,1.058078737837921,0.3523420523624954,0.1500111160062045,0.497288614597709,-4514.173331749556,56.72070000000001,5.672070000000001,975761.4190809189,2578.336164146443,832.5922325053128,4646.933298492373,523.5075191240662,-23.50751912406622,1,0.002163757875303628
400000.0,315,0.4,4000000.0,600,0.7198533881627974,0.2801466118372026,732062.5462960908,288839.91632297,3.315011766042331,1.058078737837921,0.3523420523624954,0.1500111160062045,0.497288614597709,-4514.173331749556,56.72070000000001,5.672070000000001,3034300.175789314,6487.762555113418,15.85715093340577,2609.817655823644,523.5075191240662,76.49248087593378,3,0.113609816010818
400000.0,315,0.4,4000000.0,700,0.7198533881627974,0.2801466118372026,732062.5462960908,288839.91632297,3.315011766042331,1.058078737837921,0.3523420523624954,0.1500111160062045,0.497288614597709,-4514.173331749556,56.72070000000001,5.672070000000001,3277333.160851409,6862.901863542406,12.98465919992064,2328.339627785634,523.5075191240662,176.4924808759338,3,0.1387428019682651
400000.0,315,0.5,1000000.0,500,0.997810574643471,0.002189425356529,863501.9598619118,367603.3111011701,3.317636484316193,1.058843889969905,0.3521276415382401,0.1509405623154113,0.5007659165008106,1533.959455159944,53.9154,5.39154,2891276.467390902,6825.047542542925,4.532542418073724,2281.917775791725,453.0356323914667,46.96436760853328,3,0.3974652267602226
400000.0,315,0.5,1000000.0,600,0.997810574643471,0.002189425356529,863501.9598619118,367603.3111011701,3.317636484316193,1.058843889969905,0.3521276415382401,0.1509405623154113,0.5007659165008106,1533.959455159944,53.9154,5.39154,3108976.697284031,7222.370703971835,3.687216989430921,2127.248912137244,453.0356323914667,146.9643676085333,3,0.488587464519696
400000.0,315,0.5,1000000.0,700,0.997810574643471,0.002189425356529,863501.9598619118,367603.3111011701,3.317636484316193,1.058843889969905,0.3521276415382401,0.1509405623154113,0.5007659165008106,1533.959455159944,53.9154,5.39154,3321634.071576465,7550.146125775507,3.130621729148443,2136.382814265179,453.0356323914667,246.9643676085333,3,0.5754537455695843
400000.0,315,0.5,4000000.0,500,0.997810574643471,0.002189425356529,863501.9598619118,367603.3111011701,3.317636484316193,1.058843889969905,0.3521276415382401,0.1509405623154113,0.5007659165008106,1533.959455159944,53.9154,5.39154,975761.4190809189,2578.336164146443,832.5922325053128,4646.933298492373,523.5075191240662,-23.50751912406622,1,0.002163757875303628
400000.0,315,0.5,4000000.0,600,0.997810574643471,0.002189425356529,863501.9598619118,367603.3111011701,3.317636484316193,1.058843889969905,0.3521276415382401,0.1509405623154113,0.5007659165008106,1533.959455159944,53.9154,5.39154,3034300.175789314,6487.762555113418,15.85715093340577,2609.817655823644,523.5075191240662,76.49248087593378,3,0.113609816010818
400000.0,315,0.5,4000000.0,700,0.997810574643471,0.002189425356529,863501.9598619118,367603.3111011701,3.317636484316193,1.058843889969905,0.3521276415382401,0.1509405623154113,0.5007659165008106,1533.959455159944,53.9154,5.39154,3277333.160851409,6862.901863542406,12.98465919992064,2328.339627785634,523.5075191240662,176.4924808759338,3,0.1387428019682651
400000.0,315,0.6,1000000.0,500,1,0,994941.373427733,505427.7785910532,1.057441320059376,1.100416437730997,1.14121649166973,0,0.6000000000000002,1504.220837285281,51.1101,5.11101,2891276.467390902,6825.047542542925,4.532542418073724,2281.917775791725,453.0356323914667,46.96436760853328,3,0.3974652267602226
400000.0,315,0.6,1000000.0,600,1,0,994941.373427733,505427.7785910532,1.057441320059376,1.100416437730997,1.14121649166973,0,0.6000000000000002,1504.220837285281,51.1101,5.11101,3108976.697284031,7222.370703971835,3.687216989430921,2127.248912137244,453.0356323914667,146.9643676085333,3,0.488587464519696
400000.0,315,0.6,1000000.0,700,1,0,994941.373427733,505427.7785910532,1.057441320059376,1.100416437730997,1.14121649166973,0,0.6000000000000002,1504.220837285281,51.1101,5.11101,3321634.071576465,7550.146125775507,3.130621729148443,2136.382814265179,453.0356323914667,246.9643676085333,3,0.5754537455695843
400000.0,315,0.6,4000000.0,500,1,0,994941.373427733,505427.7785910532,1.057441320059376,1.100416437730997,1.14121649166973,0,0.6000000000000002,1504.220837285281,51.1101,5.11101,975761.4190809189,2578.336164146443,832.5922325053128,4646.933298492373,523.5075191240662,-23.50751912406622,1,0.002163757875303628
400000.0,315,0.6,4000000.0,600,1,0,994941.373427733,505427.7785910532,1.057441320059376,1.100416437730997,1.14121649166973,0,0.6000000000000002,1504.220837285281,51.1101,5.11101,3034300.175789314,6487.762555113418,15.85715093340577,2609.817655823644,523.5075191240662,76.49248087593378,3,0.113609816010818
400000.0,315,0.6,4000000.0,700,1,0,994941.373427733,505427.7785910532,1.057441320059376,1.100416437730997,1.14121649166973,0,0.6000000000000002,1504.220837285281,51.1101,5.11101,3277333.160851409,6862.901863542406,12.98465919992064,2328.339627785634,523.5075191240662,176.4924808759338,3,0.1387428019682651
400000.0,325,0.5,1000000.0,500,1,0,1085903.541501589,491750.9463783066,1.050844323194578,1.092361869838346,1.132778350077444,0,0.5000000000000001,2553.566826762851,53.9154,5.39154,2891276.467390902,6825.047542542925,4.532542418073724,2281.917775791725,453.0356323914667,46.96436760853328,3,0.3974652267602226
400000.0,325,0.5,1000000.0,600,1,0,1085903.541501589,491750.9463783066,1.050844323194578,1.092361869838346,1.132778350077444,0,0.5000000000000001,2553.566826762851,53.9154,5.39154,3108976.697284031,7222.370703971835,3.687216989430921,2127.248912137244,453.0356323914667,146.9643676085333,3,0.488587464519696
400000.0,325,0.5,1000000.0,700,1,0,1085903.541501589,491750.9463783066,1.050844323194578,1.092361869838346,1.132778350077444,0,0.5000000000000001,2553.566826762851,53.9154,5.39154,3321634.071576465,7550.146125775507,3.130621729148443,2136.382814265179,453.0356323914667,246.9643676085333,3,0.5754537455695843
400000.0,325,0.5,4000000.0,500,1,0,1085903.541501589,491750.9463783066,1.050844323194578,1.092361869838346,1.132778350077444,0,0.5000000000000001,2553.566826762851,53.9154,5.39154,975761.4190809189,2578.336164146443,832.5922325053128,4646.933298492373,523.5075191240662,-23.50751912406622,1,0.002163757875303628
400000.0,325,0.5,4000000.0,600,1,0,1085903.541501589,491750.9463783066,1.050844323194578,1.092361869838346,1.132778350077444,0,0.5000000000000001,2553.566826762851,53.9154,5.39154,3034300.175789314,6487.762555113418,15.85715093340577,2609.817655823644,523.5075191240662,76.49248087593378,3,0.113609816010818
400000.0,325,0.5,4000000.0,700,1,0,1085903.541501589,491750.9463783066,1.050844323194578,1.092361869838346,1.132778350077444,0,0.5000000000000001,2553.566826762851,53.9154,5.39154,3277333.160851409,6862.901863542406,12.98465919992064,2328.339627785634,523.5075191240662,176.4924808759338,3,0.1387428019682651
400000.0,325,0.6,1000000.0,500,1,0,1248024.38173826,666875.2981605728,1.052425314125221,1.091482727948045,1.128374894988723,0,0.6000000000000002,2427.744558619702,51.1101,5.11101,2891276.467390902,6825.047542542925,4.532542418073724,2281.917775791725,453.0356323914667,46.96436760853328,3,0.3974652267602226
400000.0,325,0.6,1000000.0,600,1,0,1248024.38173826,666875.2981605728,1.052425314125221,1.091482727948045,1.128374894988723,0,0.6000000000000002,2427.744558619702,51.1101,5.11101,3108976.697284031,7222.370703971835,3.687216989430921,2127.248912137244,453.0356323914667,146.9643676085333,3,0.488587464519696
